Loading weights:   0%|          | 0/292 [00:00<?, ?it/s]Loading weights: 100%|██████████| 292/292 [00:00<00:00, 12956.34it/s]
[  3h12m +252.73s]   prompt 45/100  seq_len=128 n_valid=111  252s  max||J||/sqrt(d)=1.358  max_d_mean=2.47e-02
[  3h16m +246.33s]   prompt 46/100  seq_len=125 n_valid=108  246s  max||J||/sqrt(d)=1.305  max_d_mean=2.21e-02
[  3h20m +250.03s]   prompt 47/100  seq_len=128 n_valid=111  250s  max||J||/sqrt(d)=1.310  max_d_mean=2.31e-02
[  3h24m +253.19s]   prompt 48/100  seq_len=128 n_valid=111  253s  max||J||/sqrt(d)=1.342  max_d_mean=2.71e-02
[  3h28m +254.92s]   prompt 49/100  seq_len=128 n_valid=111  255s  max||J||/sqrt(d)=1.309  max_d_mean=2.16e-02
[  3h33m +251.65s]   prompt 50/100  seq_len=128 n_valid=111  252s  max||J||/sqrt(d)=1.341  max_d_mean=2.05e-02
[  3h37m +259.60s]   prompt 51/100  seq_len=128 n_valid=111  259s  max||J||/sqrt(d)=1.377  max_d_mean=1.93e-02
[  3h41m +255.87s]   prompt 52/100  seq_len=128 n_valid=111  256s  max||J||/sqrt(d)=1.318  max_d_mean=2.04e-02
[  3h45m +252.68s]   prompt 53/100  seq_len=128 n_valid=111  253s  max||J||/sqrt(d)=1.377  max_d_mean=2.45e-02
[  3h50m +257.01s]   prompt 54/100  seq_len=128 n_valid=111  257s  max||J||/sqrt(d)=1.296  max_d_mean=1.60e-02
[  3h54m +255.22s]   prompt 55/100  seq_len=128 n_valid=111  255s  max||J||/sqrt(d)=1.360  max_d_mean=2.17e-02
[  3h58m +257.02s]   prompt 56/100  seq_len=128 n_valid=111  257s  max||J||/sqrt(d)=1.349  max_d_mean=1.83e-02
[  4h02m +250.01s]   prompt 57/100  seq_len=128 n_valid=111  250s  max||J||/sqrt(d)=1.357  max_d_mean=2.68e-02
[  4h07m +263.03s]   prompt 58/100  seq_len=128 n_valid=111  263s  max||J||/sqrt(d)=1.305  max_d_mean=1.78e-02
[  4h11m +261.04s]   prompt 59/100  seq_len=128 n_valid=111  261s  max||J||/sqrt(d)=1.267  max_d_mean=1.63e-02
[  4h15m +258.81s]   prompt 60/100  seq_len=128 n_valid=111  259s  max||J||/sqrt(d)=1.311  max_d_mean=1.65e-02
[  4h20m +261.35s]   prompt 61/100  seq_len=128 n_valid=111  261s  max||J||/sqrt(d)=1.342  max_d_mean=1.88e-02
[  4h24m +259.19s]   prompt 62/100  seq_len=128 n_valid=111  259s  max||J||/sqrt(d)=1.379  max_d_mean=2.50e-02
[  4h28m +255.29s]   prompt 63/100  seq_len=128 n_valid=111  255s  max||J||/sqrt(d)=1.469  max_d_mean=2.07e-02
[  4h33m +261.28s]   prompt 64/100  seq_len=128 n_valid=111  261s  max||J||/sqrt(d)=1.331  max_d_mean=1.71e-02
[  4h37m +261.48s]   prompt 65/100  seq_len=128 n_valid=111  261s  max||J||/sqrt(d)=1.456  max_d_mean=2.45e-02
[  4h42m +271.98s]   prompt 66/100  seq_len=128 n_valid=111  272s  max||J||/sqrt(d)=1.412  max_d_mean=1.97e-02
[  4h46m +265.20s]   prompt 67/100  seq_len=128 n_valid=111  265s  max||J||/sqrt(d)=1.328  max_d_mean=1.77e-02
[  4h50m +267.92s]   prompt 68/100  seq_len=128 n_valid=111  268s  max||J||/sqrt(d)=1.381  max_d_mean=1.58e-02
[  4h55m +266.15s]   prompt 69/100  seq_len=128 n_valid=111  266s  max||J||/sqrt(d)=1.504  max_d_mean=2.31e-02
[  4h59m +261.90s]   prompt 70/100  seq_len=128 n_valid=111  262s  max||J||/sqrt(d)=1.474  max_d_mean=2.89e-02
[  5h04m +259.96s]   prompt 71/100  seq_len=128 n_valid=111  260s  max||J||/sqrt(d)=1.731  max_d_mean=3.09e-02
[  5h08m +261.94s]   prompt 72/100  seq_len=128 n_valid=111  262s  max||J||/sqrt(d)=1.344  max_d_mean=2.35e-02
[  5h12m +264.22s]   prompt 73/100  seq_len=128 n_valid=111  264s  max||J||/sqrt(d)=1.350  max_d_mean=1.46e-02
[  5h17m +257.82s]   prompt 74/100  seq_len=128 n_valid=111  257s  max||J||/sqrt(d)=1.339  max_d_mean=1.52e-02
[  5h21m +263.63s]   prompt 75/100  seq_len=128 n_valid=111  263s  max||J||/sqrt(d)=1.374  max_d_mean=2.05e-02
[  5h25m +257.78s]   prompt 76/100  seq_len=128 n_valid=111  258s  max||J||/sqrt(d)=1.496  max_d_mean=1.99e-02
[  5h30m +257.48s]   prompt 77/100  seq_len=128 n_valid=111  257s  max||J||/sqrt(d)=1.455  max_d_mean=2.10e-02
[  5h34m +260.76s]   prompt 78/100  seq_len=128 n_valid=111  261s  max||J||/sqrt(d)=1.380  max_d_mean=1.30e-02
[  5h38m +266.80s]   prompt 79/100  seq_len=128 n_valid=111  267s  max||J||/sqrt(d)=1.428  max_d_mean=1.88e-02
[  5h43m +266.53s]   prompt 80/100  seq_len=128 n_valid=111  266s  max||J||/sqrt(d)=1.404  max_d_mean=1.83e-02
[  5h47m +273.76s]   prompt 81/100  seq_len=128 n_valid=111  273s  max||J||/sqrt(d)=1.442  max_d_mean=1.96e-02
[  5h52m +269.24s]   prompt 82/100  seq_len=128 n_valid=111  269s  max||J||/sqrt(d)=1.413  max_d_mean=1.54e-02
[  5h56m +265.64s]   prompt 83/100  seq_len=128 n_valid=111  266s  max||J||/sqrt(d)=1.433  max_d_mean=1.44e-02
[  6h01m +257.76s]   prompt 84/100  seq_len=128 n_valid=111  257s  max||J||/sqrt(d)=1.386  max_d_mean=1.46e-02
[  6h05m +255.99s]   prompt 85/100  seq_len=128 n_valid=111  256s  max||J||/sqrt(d)=1.368  max_d_mean=1.38e-02
[  6h09m +250.96s]   prompt 86/100  seq_len=128 n_valid=111  251s  max||J||/sqrt(d)=1.318  max_d_mean=1.12e-02
